Mmlu_vi: 1 acc_norm: 0/1=0.0000, predicted: 0, actual: 3
Mmlu_vi: 33 acc_norm: 6/33=0.1818, predicted: 2, actual: 0
Mmlu_vi: 34 acc_norm: 6/34=0.1765, predicted: 2, actual: 3
Mmlu_vi: 35 acc_norm: 7/35=0.2000, predicted: 2, actual: 2
Mmlu_vi: 36 acc_norm: 7/36=0.1944, predicted: 1, actual: 0
Mmlu_vi: 37 acc_norm: 7/37=0.1892, predicted: 0, actual: 2
Mmlu_vi: 38 acc_norm: 7/38=0.1842, predicted: 0, actual: 1
Mmlu_vi: 39 acc_norm: 7/39=0.1795, predicted: 1, actual: 2
Mmlu_vi: 40 acc_norm: 7/40=0.1750, predicted: 3, actual: 2
Mmlu_vi: 41 acc_norm: 8/41=0.1951, predicted: 3, actual: 3
Mmlu_vi: 42 acc_norm: 8/42=0.1905, predicted: 2, actual: 0
Mmlu_vi: 43 acc_norm: 8/43=0.1860, predicted: 0, actual: 3
Mmlu_vi: 44 acc_norm: 8/44=0.1818, predicted: 2, actual: 0
Mmlu_vi: 45 acc_norm: 8/45=0.1778, predicted: 0, actual: 3
Mmlu_vi: 46 acc_norm: 8/46=0.1739, predicted: 2, actual: 3
Mmlu_vi: 47 acc_norm: 8/47=0.1702, predicted: 3, actual: 2
Mmlu_vi: 48 acc_norm: 8/48=0.1667, predicted: 2, actual: 3
Mmlu_vi: 49 acc_norm: 9/49=0.1837, predicted: 2, actual: 2
Mmlu_vi: 50 acc_norm: 9/50=0.1800, predicted: 2, actual: 1
Mmlu_vi: 51 acc_norm: 9/51=0.1765, predicted: 0, actual: 3
Mmlu_vi: 52 acc_norm: 9/52=0.1731, predicted: 3, actual: 1
Mmlu_vi: 53 acc_norm: 10/53=0.1887, predicted: 3, actual: 3
Mmlu_vi: 54 acc_norm: 10/54=0.1852, predicted: 2, actual: 0
Mmlu_vi: 55 acc_norm: 10/55=0.1818, predicted: 2, actual: 0
Mmlu_vi: 56 acc_norm: 10/56=0.1786, predicted: 3, actual: 1
Mmlu_vi: 57 acc_norm: 10/57=0.1754, predicted: 2, actual: 1
Mmlu_vi: 58 acc_norm: 10/58=0.1724, predicted: 0, actual: 3
Mmlu_vi: 59 acc_norm: 11/59=0.1864, predicted: 3, actual: 3
Mmlu_vi: 60 acc_norm: 12/60=0.2000, predicted: 1, actual: 1
Mmlu_vi: 61 acc_norm: 12/61=0.1967, predicted: 0, actual: 2
Mmlu_vi: 62 acc_norm: 12/62=0.1935, predicted: 2, actual: 0
Mmlu_vi: 63 acc_norm: 12/63=0.1905, predicted: 3, actual: 0
Mmlu_vi: 64 acc_norm: 12/64=0.1875, predicted: 1, actual: 0
Mmlu_vi: 65 acc_norm: 12/65=0.1846, predicted: 3, actual: 1
Mmlu_vi: 66 acc_norm: 13/66=0.1970, predicted: 1, actual: 1
Mmlu_vi: 67 acc_norm: 13/67=0.1940, predicted: 0, actual: 2
Mmlu_vi: 68 acc_norm: 13/68=0.1912, predicted: 0, actual: 2
Mmlu_vi: 69 acc_norm: 13/69=0.1884, predicted: 3, actual: 2
Mmlu_vi: 70 acc_norm: 13/70=0.1857, predicted: 0, actual: 1
Mmlu_vi: 71 acc_norm: 13/71=0.1831, predicted: 1, actual: 2
Mmlu_vi: 72 acc_norm: 13/72=0.1806, predicted: 3, actual: 1
Mmlu_vi: 73 acc_norm: 14/73=0.1918, predicted: 1, actual: 1
Mmlu_vi: 74 acc_norm: 14/74=0.1892, predicted: 3, actual: 2
Mmlu_vi: 75 acc_norm: 15/75=0.2000, predicted: 0, actual: 0
Mmlu_vi: 76 acc_norm: 15/76=0.1974, predicted: 2, actual: 0
Mmlu_vi: 77 acc_norm: 15/77=0.1948, predicted: 3, actual: 0
Mmlu_vi: 78 acc_norm: 15/78=0.1923, predicted: 1, actual: 2
Mmlu_vi: 79 acc_norm: 16/79=0.2025, predicted: 3, actual: 3
Mmlu_vi: 80 acc_norm: 16/80=0.2000, predicted: 1, actual: 3
Mmlu_vi: 81 acc_norm: 17/81=0.2099, predicted: 2, actual: 2
Mmlu_vi: 82 acc_norm: 17/82=0.2073, predicted: 0, actual: 1
Mmlu_vi: 83 acc_norm: 17/83=0.2048, predicted: 1, actual: 2
Mmlu_vi: 84 acc_norm: 18/84=0.2143, predicted: 2, actual: 2
Mmlu_vi: 85 acc_norm: 18/85=0.2118, predicted: 3, actual: 1
Mmlu_vi: 86 acc_norm: 18/86=0.2093, predicted: 1, actual: 0
Mmlu_vi: 87 acc_norm: 18/87=0.2069, predicted: 0, actual: 3
Mmlu_vi: 88 acc_norm: 18/88=0.2045, predicted: 2, actual: 1
Mmlu_vi: 89 acc_norm: 18/89=0.2022, predicted: 2, actual: 3
Mmlu_vi: 90 acc_norm: 18/90=0.2000, predicted: 3, actual: 0
Mmlu_vi: 91 acc_norm: 18/91=0.1978, predicted: 0, actual: 3
Mmlu_vi: 92 acc_norm: 19/92=0.2065, predicted: 3, actual: 3
Mmlu_vi: 93 acc_norm: 19/93=0.2043, predicted: 2, actual: 1
Mmlu_vi: 94 acc_norm: 19/94=0.2021, predicted: 3, actual: 1
Mmlu_vi: 95 acc_norm: 19/95=0.2000, predicted: 0, actual: 1
Mmlu_vi: 96 acc_norm: 20/96=0.2083, predicted: 0, actual: 0
Mmlu_vi: 97 acc_norm: 20/97=0.2062, predicted: 1, actual: 2
Mmlu_vi: 98 acc_norm: 20/98=0.2041, predicted: 3, actual: 0
Mmlu_vi: 99 acc_norm: 21/99=0.2121, predicted: 3, actual: 3
Mmlu_vi: 100 acc_norm: 22/100=0.2200, predicted: 3, actual: 3
Mmlu_vi: 101 acc_norm: 22/101=0.2178, predicted: 2, actual: 1
Mmlu_vi: 102 acc_norm: 22/102=0.2157, predicted: 2, actual: 0
Mmlu_vi: 103 acc_norm: 22/103=0.2136, predicted: 2, actual: 0
Mmlu_vi: 104 acc_norm: 23/104=0.2212, predicted: 1, actual: 1
Mmlu_vi: 105 acc_norm: 24/105=0.2286, predicted: 2, actual: 2
Mmlu_vi: 106 acc_norm: 24/106=0.2264, predicted: 2, actual: 1
Mmlu_vi: 107 acc_norm: 24/107=0.2243, predicted: 1, actual: 2
Mmlu_vi: 108 acc_norm: 24/108=0.2222, predicted: 3, actual: 0
Mmlu_vi: 109 acc_norm: 24/109=0.2202, predicted: 0, actual: 2
Mmlu_vi: 110 acc_norm: 25/110=0.2273, predicted: 3, actual: 3
Mmlu_vi: 111 acc_norm: 25/111=0.2252, predicted: 3, actual: 2
Mmlu_vi: 112 acc_norm: 26/112=0.2321, predicted: 2, actual: 2
Mmlu_vi: 113 acc_norm: 26/113=0.2301, predicted: 2, actual: 0
Mmlu_vi: 114 acc_norm: 26/114=0.2281, predicted: 1, actual: 2
Mmlu_vi: 115 acc_norm: 27/115=0.2348, predicted: 3, actual: 3
Mmlu_vi: 116 acc_norm: 27/116=0.2328, predicted: 2, actual: 3
Mmlu_vi: 117 acc_norm: 27/117=0.2308, predicted: 0, actual: 1
Mmlu_vi: 118 acc_norm: 27/118=0.2288, predicted: 1, actual: 3
Mmlu_vi: 119 acc_norm: 27/119=0.2269, predicted: 3, actual: 0
Mmlu_vi: 120 acc_norm: 27/120=0.2250, predicted: 3, actual: 2
Mmlu_vi: 121 acc_norm: 28/121=0.2314, predicted: 1, actual: 1
Mmlu_vi: 122 acc_norm: 28/122=0.2295, predicted: 1, actual: 3
Mmlu_vi: 123 acc_norm: 28/123=0.2276, predicted: 2, actual: 3
Mmlu_vi: 124 acc_norm: 29/124=0.2339, predicted: 1, actual: 1
Mmlu_vi: 125 acc_norm: 29/125=0.2320, predicted: 0, actual: 1
Mmlu_vi: 126 acc_norm: 29/126=0.2302, predicted: 1, actual: 0
Mmlu_vi: 127 acc_norm: 29/127=0.2283, predicted: 2, actual: 3
Mmlu_vi: 128 acc_norm: 29/128=0.2266, predicted: 0, actual: 3
Mmlu_vi: 129 acc_norm: 30/129=0.2326, predicted: 0, actual: 0
Mmlu_vi: 130 acc_norm: 31/130=0.2385, predicted: 0, actual: 0
Mmlu_vi: 131 acc_norm: 31/131=0.2366, predicted: 1, actual: 0
Mmlu_vi: 132 acc_norm: 31/132=0.2348, predicted: 2, actual: 0
Mmlu_vi: 133 acc_norm: 31/133=0.2331, predicted: 3, actual: 2
Mmlu_vi: 134 acc_norm: 32/134=0.2388, predicted: 3, actual: 3
Mmlu_vi: 135 acc_norm: 33/135=0.2444, predicted: 3, actual: 3
Mmlu_vi: 136 acc_norm: 33/136=0.2426, predicted: 1, actual: 2
Mmlu_vi: 137 acc_norm: 33/137=0.2409, predicted: 1, actual: 2
Mmlu_vi: 138 acc_norm: 33/138=0.2391, predicted: 0, actual: 3
Mmlu_vi: 139 acc_norm: 33/139=0.2374, predicted: 3, actual: 1
Mmlu_vi: 140 acc_norm: 33/140=0.2357, predicted: 2, actual: 1
Mmlu_vi: 141 acc_norm: 33/141=0.2340, predicted: 0, actual: 2
Mmlu_vi: 142 acc_norm: 33/142=0.2324, predicted: 1, actual: 2
Mmlu_vi: 143 acc_norm: 33/143=0.2308, predicted: 1, actual: 3
Mmlu_vi: 144 acc_norm: 33/144=0.2292, predicted: 3, actual: 2
Mmlu_vi: 145 acc_norm: 33/145=0.2276, predicted: 0, actual: 1
Mmlu_vi: 146 acc_norm: 33/146=0.2260, predicted: 1, actual: 2
Mmlu_vi: 147 acc_norm: 33/147=0.2245, predicted: 1, actual: 0
Mmlu_vi: 148 acc_norm: 33/148=0.2230, predicted: 1, actual: 0
Mmlu_vi: 149 acc_norm: 33/149=0.2215, predicted: 1, actual: 2
Mmlu_vi: 150 acc_norm: 34/150=0.2267, predicted: 3, actual: 3
Mmlu_vi: 151 acc_norm: 34/151=0.2252, predicted: 3, actual: 1
Mmlu_vi: 152 acc_norm: 34/152=0.2237, predicted: 3, actual: 1
Mmlu_vi: 153 acc_norm: 34/153=0.2222, predicted: 3, actual: 2
Mmlu_vi: 154 acc_norm: 34/154=0.2208, predicted: 0, actual: 1
Mmlu_vi: 155 acc_norm: 35/155=0.2258, predicted: 2, actual: 2
Mmlu_vi: 156 acc_norm: 35/156=0.2244, predicted: 1, actual: 3
Mmlu_vi: 157 acc_norm: 35/157=0.2229, predicted: 3, actual: 0
Mmlu_vi: 158 acc_norm: 35/158=0.2215, predicted: 2, actual: 0
Mmlu_vi: 159 acc_norm: 35/159=0.2201, predicted: 2, actual: 0
Mmlu_vi: 160 acc_norm: 35/160=0.2188, predicted: 2, actual: 0
Mmlu_vi: 161 acc_norm: 35/161=0.2174, predicted: 3, actual: 1
Mmlu_vi: 162 acc_norm: 35/162=0.2160, predicted: 3, actual: 1
Mmlu_vi: 163 acc_norm: 35/163=0.2147, predicted: 1, actual: 2
Mmlu_vi: 164 acc_norm: 35/164=0.2134, predicted: 0, actual: 3
Mmlu_vi: 165 acc_norm: 35/165=0.2121, predicted: 0, actual: 3
Mmlu_vi: 166 acc_norm: 35/166=0.2108, predicted: 1, actual: 2
Mmlu_vi: 167 acc_norm: 35/167=0.2096, predicted: 0, actual: 2
Mmlu_vi: 168 acc_norm: 36/168=0.2143, predicted: 2, actual: 2
Mmlu_vi: 169 acc_norm: 37/169=0.2189, predicted: 2, actual: 2
Mmlu_vi: 170 acc_norm: 37/170=0.2176, predicted: 0, actual: 3
Mmlu_vi: 171 acc_norm: 37/171=0.2164, predicted: 0, actual: 1
Mmlu_vi: 172 acc_norm: 37/172=0.2151, predicted: 0, actual: 2
Mmlu_vi: 173 acc_norm: 37/173=0.2139, predicted: 1, actual: 0
Mmlu_vi: 174 acc_norm: 37/174=0.2126, predicted: 1, actual: 0
Mmlu_vi: 175 acc_norm: 37/175=0.2114, predicted: 0, actual: 1
Mmlu_vi: 176 acc_norm: 37/176=0.2102, predicted: 0, actual: 1
Mmlu_vi: 177 acc_norm: 38/177=0.2147, predicted: 2, actual: 2
Mmlu_vi: 178 acc_norm: 38/178=0.2135, predicted: 2, actual: 3
Mmlu_vi: 179 acc_norm: 38/179=0.2123, predicted: 2, actual: 0
Mmlu_vi: 180 acc_norm: 38/180=0.2111, predicted: 1, actual: 2
Mmlu_vi: 181 acc_norm: 38/181=0.2099, predicted: 3, actual: 0
Mmlu_vi: 182 acc_norm: 38/182=0.2088, predicted: 3, actual: 1
Mmlu_vi: 183 acc_norm: 38/183=0.2077, predicted: 1, actual: 3
Mmlu_vi: 184 acc_norm: 38/184=0.2065, predicted: 1, actual: 0
Mmlu_vi: 185 acc_norm: 39/185=0.2108, predicted: 2, actual: 2
Mmlu_vi: 186 acc_norm: 39/186=0.2097, predicted: 3, actual: 2
Mmlu_vi: 187 acc_norm: 40/187=0.2139, predicted: 0, actual: 0
Mmlu_vi: 188 acc_norm: 40/188=0.2128, predicted: 1, actual: 2
Mmlu_vi: 189 acc_norm: 40/189=0.2116, predicted: 2, actual: 0
Mmlu_vi: 190 acc_norm: 40/190=0.2105, predicted: 1, actual: 0
Mmlu_vi: 191 acc_norm: 40/191=0.2094, predicted: 1, actual: 3
Mmlu_vi: 192 acc_norm: 41/192=0.2135, predicted: 1, actual: 1
Mmlu_vi: 193 acc_norm: 42/193=0.2176, predicted: 0, actual: 0
Mmlu_vi: 194 acc_norm: 42/194=0.2165, predicted: 0, actual: 3
Mmlu_vi: 195 acc_norm: 42/195=0.2154, predicted: 0, actual: 1
Mmlu_vi: 196 acc_norm: 42/196=0.2143, predicted: 1, actual: 0
Mmlu_vi: 197 acc_norm: 42/197=0.2132, predicted: 0, actual: 1
Mmlu_vi: 198 acc_norm: 43/198=0.2172, predicted: 1, actual: 1
Mmlu_vi: 199 acc_norm: 43/199=0.2161, predicted: 0, actual: 3
Mmlu_vi: 200 acc_norm: 43/200=0.2150, predicted: 3, actual: 2
Mmlu_vi: 201 acc_norm: 44/201=0.2189, predicted: 2, actual: 2
Mmlu_vi: 202 acc_norm: 45/202=0.2228, predicted: 0, actual: 0
Mmlu_vi: 203 acc_norm: 45/203=0.2217, predicted: 0, actual: 3
Mmlu_vi: 204 acc_norm: 45/204=0.2206, predicted: 1, actual: 2
Mmlu_vi: 205 acc_norm: 45/205=0.2195, predicted: 0, actual: 2
Mmlu_vi: 206 acc_norm: 45/206=0.2184, predicted: 3, actual: 1
Mmlu_vi: 207 acc_norm: 45/207=0.2174, predicted: 0, actual: 1
Mmlu_vi: 208 acc_norm: 45/208=0.2163, predicted: 2, actual: 3
Mmlu_vi: 209 acc_norm: 45/209=0.2153, predicted: 3, actual: 1
Mmlu_vi: 210 acc_norm: 46/210=0.2190, predicted: 3, actual: 3
Mmlu_vi: 211 acc_norm: 46/211=0.2180, predicted: 1, actual: 2
Mmlu_vi: 212 acc_norm: 46/212=0.2170, predicted: 2, actual: 3
Mmlu_vi: 213 acc_norm: 46/213=0.2160, predicted: 0, actual: 3
Mmlu_vi: 214 acc_norm: 46/214=0.2150, predicted: 3, actual: 0
Mmlu_vi: 215 acc_norm: 47/215=0.2186, predicted: 3, actual: 3
Mmlu_vi: 216 acc_norm: 47/216=0.2176, predicted: 1, actual: 3
Mmlu_vi: 217 acc_norm: 47/217=0.2166, predicted: 2, actual: 3
Mmlu_vi: 218 acc_norm: 47/218=0.2156, predicted: 2, actual: 1
Mmlu_vi: 219 acc_norm: 47/219=0.2146, predicted: 2, actual: 3
Mmlu_vi: 220 acc_norm: 47/220=0.2136, predicted: 3, actual: 0
Mmlu_vi: 221 acc_norm: 48/221=0.2172, predicted: 0, actual: 0
Mmlu_vi: 222 acc_norm: 48/222=0.2162, predicted: 3, actual: 0
Mmlu_vi: 223 acc_norm: 48/223=0.2152, predicted: 3, actual: 1
Mmlu_vi: 224 acc_norm: 48/224=0.2143, predicted: 0, actual: 1
Mmlu_vi: 225 acc_norm: 48/225=0.2133, predicted: 0, actual: 1
Mmlu_vi: 226 acc_norm: 48/226=0.2124, predicted: 1, actual: 3
Mmlu_vi: 227 acc_norm: 48/227=0.2115, predicted: 2, actual: 1
Mmlu_vi: 228 acc_norm: 48/228=0.2105, predicted: 2, actual: 0
Mmlu_vi: 229 acc_norm: 48/229=0.2096, predicted: 3, actual: 0
Mmlu_vi: 230 acc_norm: 48/230=0.2087, predicted: 0, actual: 1
Mmlu_vi: 231 acc_norm: 48/231=0.2078, predicted: 3, actual: 2
Mmlu_vi: 232 acc_norm: 48/232=0.2069, predicted: 1, actual: 3
Mmlu_vi: 233 acc_norm: 48/233=0.2060, predicted: 2, actual: 1
Mmlu_vi: 234 acc_norm: 48/234=0.2051, predicted: 0, actual: 1
Mmlu_vi: 235 acc_norm: 48/235=0.2043, predicted: 2, actual: 0
Mmlu_vi: 236 acc_norm: 48/236=0.2034, predicted: 0, actual: 2
Mmlu_vi: 237 acc_norm: 49/237=0.2068, predicted: 3, actual: 3
Mmlu_vi: 238 acc_norm: 50/238=0.2101, predicted: 3, actual: 3
Mmlu_vi: 239 acc_norm: 50/239=0.2092, predicted: 2, actual: 1
Mmlu_vi: 240 acc_norm: 51/240=0.2125, predicted: 0, actual: 0
Mmlu_vi: 241 acc_norm: 52/241=0.2158, predicted: 3, actual: 3
Mmlu_vi: 242 acc_norm: 52/242=0.2149, predicted: 0, actual: 1
Mmlu_vi: 243 acc_norm: 52/243=0.2140, predicted: 2, actual: 3
Mmlu_vi: 244 acc_norm: 52/244=0.2131, predicted: 1, actual: 3
Mmlu_vi: 245 acc_norm: 53/245=0.2163, predicted: 3, actual: 3
Mmlu_vi: 246 acc_norm: 53/246=0.2154, predicted: 2, actual: 1
Mmlu_vi: 247 acc_norm: 53/247=0.2146, predicted: 2, actual: 0
Mmlu_vi: 248 acc_norm: 53/248=0.2137, predicted: 1, actual: 0
Mmlu_vi: 249 acc_norm: 53/249=0.2129, predicted: 3, actual: 0
Mmlu_vi: 250 acc_norm: 54/250=0.2160, predicted: 3, actual: 3
Mmlu_vi: 251 acc_norm: 54/251=0.2151, predicted: 3, actual: 2
Mmlu_vi: 252 acc_norm: 54/252=0.2143, predicted: 2, actual: 1
Mmlu_vi: 253 acc_norm: 55/253=0.2174, predicted: 2, actual: 2
Mmlu_vi: 254 acc_norm: 56/254=0.2205, predicted: 2, actual: 2
Mmlu_vi: 255 acc_norm: 56/255=0.2196, predicted: 1, actual: 3
Mmlu_vi: 256 acc_norm: 56/256=0.2188, predicted: 3, actual: 1
Mmlu_vi: 257 acc_norm: 56/257=0.2179, predicted: 2, actual: 1
Mmlu_vi: 258 acc_norm: 56/258=0.2171, predicted: 2, actual: 3
Mmlu_vi: 259 acc_norm: 56/259=0.2162, predicted: 1, actual: 0
Mmlu_vi: 260 acc_norm: 56/260=0.2154, predicted: 3, actual: 0
Mmlu_vi: 261 acc_norm: 56/261=0.2146, predicted: 0, actual: 3
Mmlu_vi: 262 acc_norm: 56/262=0.2137, predicted: 3, actual: 2
Mmlu_vi: 263 acc_norm: 56/263=0.2129, predicted: 0, actual: 1
Mmlu_vi: 264 acc_norm: 57/264=0.2159, predicted: 2, actual: 2
Mmlu_vi: 265 acc_norm: 57/265=0.2151, predicted: 1, actual: 2
Mmlu_vi: 266 acc_norm: 57/266=0.2143, predicted: 3, actual: 2
Mmlu_vi: 267 acc_norm: 57/267=0.2135, predicted: 2, actual: 3
Mmlu_vi: 268 acc_norm: 58/268=0.2164, predicted: 1, actual: 1
Mmlu_vi: 269 acc_norm: 58/269=0.2156, predicted: 1, actual: 2
Mmlu_vi: 270 acc_norm: 58/270=0.2148, predicted: 1, actual: 0
Mmlu_vi: 271 acc_norm: 58/271=0.2140, predicted: 1, actual: 2
